0,0,0
1,3,1
2,6,1
3,10,2
4,13,2
5,15,3
6,17,3
7,20,4
8,21,4
9,23,5
10,25,5
11,26,6
11,28,6
12,29,7
13,31,8
14,32,8
15,33,9
15,35,9
16,36,10
16,37,10
17,39,11
17,40,11
18,42,12
18,43,12
18,45,13
19,46,13
19,48,14
19,49,14
20,51,15
20,53,15
20,54,15
21,56,16
21,57,16
21,59,17
22,60,17
22,62,17
22,64,18
23,65,18
23,67,18
23,68,19
24,70,19
24,72,19
24,73,19
24,75,20
25,76,20
25,78,20
25,80,21
26,81,21
26,83,21
26,85,21
26,86,22
27,88,22
27,90,22
27,91,22
27,93,23
28,95,23
28,96,23
28,98,24
28,100,24
28,102,24
29,103,24
29,105,25
29,107,25
29,109,25
29,110,25
30,112,26
30,114,26
30,115,26
30,117,26
30,119,27
30,121,27
31,122,27
31,124,28
31,126,28
31,128,28
31,130,28
31,131,29
32,133,29
32,135,29
32,137,29
32,139,30
32,140,30
32,142,30
32,144,30
32,146,31
32,148,31
33,149,31
33,151,32
33,153,32
33,155,32
33,157,32
33,159,33
33,160,33
33,162,33
33,164,33
33,166,34
33,168,34
33,170,34
33,172,35
33,173,35
34,175,35
36,176,35
38,177,35
39,178,34
41,179,34
43,180,34
45,181,34
46,182,33
48,183,33
50,184,33
51,185,33
53,186,32
55,187,32
56,188,32
58,189,31
59,189,31
61,190,31
62,191,30
64,192,30
65,193,29
66,194,29
68,195,29
69,196,28
71,197,28
72,198,27
73,199,27
75,200,26
76,201,26
78,202,25
79,203,25
80,204,24
82,205,24
83,206,23
84,207,22
86,208,22
87,208,21
88,209,20
90,210,19
91,211,19
92,212,18
94,213,17
95,214,16
96,215,15
98,216,14
99,217,12
100,218,11
102,219,10
103,220,8
104,221,7
105,222,5
107,222,5
109,222,5
111,223,5
113,223,5
114,223,5
116,223,5
118,223,4
120,224,4
121,224,4
123,224,4
125,224,4
126,225,4
128,225,4
130,225,4
131,225,4
133,225,4
135,226,4
136,226,4
138,226,4
140,226,4
141,226,4
143,226,4
145,227,3
146,227,3
148,227,3
150,227,3
151,227,3
153,227,3
154,227,3
156,228,3
158,228,3
159,228,3
161,228,3
162,228,3
164,228,3
166,228,3
167,228,3
169,228,3
170,228,3
172,229,3
173,229,4
175,229,4
177,229,4
178,229,4
180,229,4
181,229,4
183,229,4
184,229,4
186,229,4
187,229,4
189,229,4
191,229,4
192,229,4
194,229,4
195,229,5
197,229,5
198,229,5
200,229,5
201,229,5
203,229,5
205,229,5
206,229,6
208,229,6
209,229,6
211,229,6
212,229,17
213,230,32
214,231,43
215,232,52
216,233,60
217,234,67
218,235,74
219,236,81
220,237,87
221,238,93
222,239,99
223,240,105
224,241,110
225,242,116
227,243,121
228,244,127
229,244,132
230,245,137
231,246,143
232,247,148
233,247,153
234,248,158
235,249,163
236,249,168
237,250,173
238,250,179
239,251,184
241,251,189
242,252,194
243,252,199
244,253,204
245,253,209
246,253,214
247,254,219
248,254,224
249,254,229
251,254,235
252,255,240
253,255,245
254,255,250
255,255,255
